datetime_utc,peak_lookback_high,current_close,drop_pct
2025-09-22 06:00:00+00:00,3.092000,2.823000,8.699871
2025-09-22 07:00:00+00:00,3.087000,2.796000,9.426628
2025-09-22 08:00:00+00:00,3.085000,2.816000,8.719611
2025-09-22 09:00:00+00:00,3.085000,2.810000,8.914100
2025-09-22 10:00:00+00:00,3.085000,2.837000,8.038898
2025-09-22 11:00:00+00:00,3.085000,2.821000,8.557536
2025-09-22 12:00:00+00:00,3.085000,2.847000,7.714749
2025-09-22 13:00:00+00:00,3.085000,2.861000,7.260940
2025-09-22 14:00:00+00:00,3.085000,2.833000,8.168558
2025-09-22 15:00:00+00:00,3.085000,2.826000,8.395462
2025-09-22 16:00:00+00:00,3.085000,2.803000,9.141005
2025-09-22 17:00:00+00:00,3.085000,2.784000,9.756888
2025-09-22 18:00:00+00:00,3.085000,2.773000,10.113452
2025-09-22 19:00:00+00:00,3.085000,2.759000,10.567261
2025-09-22 20:00:00+00:00,3.085000,2.795000,9.400324
2025-09-22 21:00:00+00:00,3.085000,2.807000,9.011345
2025-09-22 22:00:00+00:00,3.084000,2.806000,9.014267
2025-09-22 23:00:00+00:00,3.084000,2.805000,9.046693
2025-09-23 00:00:00+00:00,3.084000,2.787000,9.630350
2025-09-23 01:00:00+00:00,3.049000,2.771000,9.117744
2025-09-23 02:00:00+00:00,3.038000,2.758000,9.216590
2025-09-23 03:00:00+00:00,2.995000,2.802000,6.444073
2025-09-23 04:00:00+00:00,2.995000,2.788000,6.911519
2025-09-23 05:00:00+00:00,2.994000,2.799000,6.513026
2025-09-25 17:00:00+00:00,2.840000,2.658000,6.408451
2025-09-25 22:00:00+00:00,2.833000,2.678000,5.471232
2025-09-25 23:00:00+00:00,2.827000,2.661000,5.871949
2025-09-26 02:00:00+00:00,2.824000,2.680000,5.099150
2025-09-26 03:00:00+00:00,2.815000,2.667000,5.257549
2025-09-26 04:00:00+00:00,2.807000,2.665000,5.058782
2025-09-26 10:00:00+00:00,2.791000,2.651000,5.016123
